0 0 0 0 0 0 0 0 0 58 18 423 15 77 22 46 21 65
0 0 0 0 0 0 0 1 0 -5 -2 0 -3 -3 -3 -3 0 -2
0 0 0 0 0 0 0 1 -1 1 -10 0 0 6 5 0 0 0
0 0 0 0 0 1 0 1 -1 -4 0 -1 -1 -1 0 0 0 0
-1 0 0 0 0 1 0 1 -1 0 0 0 0 4 0 0 0 0
-1 0 0 0 1 1 0 1 -1 0 -3 0 -1 0 0 0 0 0
-1 0 0 -1 1 1 0 1 -1 0 2 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 -3 -3 -5 -17 -13 -9 -9 -6 0
-1 0 0 0 0 0 0 0 1 0 -1 4 0 0 -2 2 0 0
-1 0 0 0 0 1 0 0 1 0 0 3 0 0 0 0 0 0
-1 0 -1 0 0 1 0 0 1 0 -3 0 0 0 0 0 0 0
-1 1 -1 0 0 1 0 0 1 0 0 0 0 0 0 3 0 0
-1 1 -1 0 0 1 -1 0 1 0 0 0 0 -3 0 0 0 0
-1 1 -1 0 1 1 -1 0 1 0 0 0 4 0 0 0 0 0
0 0 0 0 1 0 0 0 0 -8 -11 -6 -7 0 -21 -7 -9 -8
0 0 0 0 1 0 0 0 -1 4 0 1 2 0 0 0 1 0
0 0 0 0 1 1 0 0 -1 0 0 0 -3 0 0 0 0 0
0 0 0 -1 1 1 0 0 -1 0 1 -1 0 0 0 0 3 0
0 0 1 -1 1 1 0 0 -1 0 0 0 0 0 0 1 0 0
0 0 1 -1 1 1 -1 0 -1 -1 0 0 0 0 0 0 0 0
1 0 1 -1 1 1 -1 0 -1 0 0 0 0 0 0 0 1 0
0 0 0 1 0 0 0 0 0 -1 -1 -1 0 -3 -4 -1 -3 -1
-1 0 0 1 0 0 0 0 0 0 2 3 0 0 -4 0 0 0
-1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -4
-1 0 1 1 0 0 0 0 -1 0 0 0 0 4 0 0 0 0
-1 0 1 1 1 0 0 0 -1 0 0 0 0 0 -1 -3 0 0
-1 0 1 1 1 0 -1 0 -1 0 0 0 0 0 2 0 1 0
0 1 0 0 0 0 0 1 -1 0 0 0 0 10 0 0 0 0
0 1 0 0 -1 0 0 1 -1 -10 0 0 0 0 0 0 0 0
1 1 0 0 -1 0 0 1 -1 0 0 10 0 0 0 0 0 0
1 1 -1 0 -1 0 0 1 -1 0 0 0 0 0 -7 -3 0 0
1 1 -1 0 -1 1 0 1 -1 0 0 0 0 0 0 7 0 0
0 0 1 0 0 0 0 0 0 -59 -65 0 -35 -71 -73 -36 -31 -53
0 -1 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 62
0 -1 1 0 1 0 0 0 0 0 0 0 0 0 0 -2 0 0
0 -1 1 0 1 0 -1 0 0 0 0 0 0 0 0 0 0 2
0 -1 1 0 1 0 -1 0 1 -2 0 0 0 0 0 0 0 0
-1 -1 1 0 1 0 -1 0 1 0 0 0 0 0 3 0 0 0
0 0 0 0 0 1 0 0 0 -1 -2 -8 -3 -5 0 -2 0 -1
0 0 0 0 -1 1 0 0 0 3 0 0 0 0 0 1 1 0
0 0 0 0 -1 1 1 0 0 0 0 0 -1 0 0 0 0 0
0 0 0 -1 -1 1 1 0 0 0 0 0 0 0 0 0 0 2
0 0 0 -1 -1 1 1 0 1 -1 0 -1 0 0 0 0 -1 0
0 0 -1 -1 -1 1 1 0 1 0 0 0 0 0 0 0 1 0
1 0 0 0 0 0 0 0 0 0 -8 -11 -6 -6 -5 -6 -10 -6
1 0 0 -1 0 0 0 0 0 0 0 2 0 4 0 0 0 0
1 0 1 -1 0 0 0 0 0 0 -2 0 0 0 0 0 0 0
1 -1 1 -1 0 0 0 0 0 0 0 0 0 2 0 0 0 0
1 -1 1 -1 1 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1
1 -1 1 -1 1 0 0 0 -1 0 0 0 0 0 0 2 0 0
0 0 0 0 0 -1 0 0 1 0 0 0 1 6 0 2 0 0
